DATE,TIME,demand,fossil,solar,wind
2020/4/1,0:00,2742,2203,0,11
2020/4/1,1:00,2595,2054,0,11
2020/4/1,2:00,2555,2012,0,11
2020/4/1,3:00,2556,2010,0,10
2020/4/1,4:00,2582,2039,0,7
2020/4/1,5:00,2672,2133,0,7
2020/4/1,6:00,2901,2317,43,6
2020/4/1,7:00,3222,2505,141,8
2020/4/1,8:00,3579,2765,204,8
2020/4/1,9:00,3791,2935,239,8
2020/4/1,10:00,3799,2857,289,8
2020/4/1,11:00,3863,2900,308,9
2020/4/1,12:00,3714,2838,206,13
2020/4/1,13:00,3792,2953,137,14
2020/4/1,14:00,3787,3024,62,14
2020/4/1,15:00,3752,3023,25,14
2020/4/1,16:00,3812,3090,11,15
2020/4/1,17:00,3821,3072,2,15
2020/4/1,18:00,3830,3049,0,16
2020/4/1,19:00,3709,2987,0,17
2020/4/1,20:00,3559,2898,0,18
2020/4/1,21:00,3382,2702,0,17
2020/4/1,22:00,3164,2514,0,17
2020/4/1,23:00,2935,2304,0,16
2020/4/2,0:00,2667,2022,0,12
2020/4/2,1:00,2537,1903,0,13
2020/4/2,2:00,2513,1892,0,14
2020/4/2,3:00,2505,1885,0,15
2020/4/2,4:00,2544,1933,0,15
2020/4/2,5:00,2635,2021,1,15
2020/4/2,6:00,2776,2070,91,14
2020/4/2,7:00,2945,1970,341,15
2020/4/2,8:00,3179,1947,621,13
2020/4/2,9:00,3316,1820,891,15
2020/4/2,10:00,3355,1665,1075,14
2020/4/2,11:00,3382,1673,1138,15
2020/4/2,12:00,3240,1678,1099,15
2020/4/2,13:00,3298,1716,962,14
2020/4/2,14:00,3235,1799,757,14
2020/4/2,15:00,3190,1986,521,15
2020/4/2,16:00,3242,2267,238,30
2020/4/2,17:00,3335,2416,26,28
2020/4/2,18:00,3580,2674,0,28
2020/4/2,19:00,3553,2629,0,29
2020/4/2,20:00,3456,2627,0,28
2020/4/2,21:00,3341,2517,0,26
2020/4/2,22:00,3193,2471,0,25
2020/4/2,23:00,2997,2329,0,24
2020/4/3,0:00,2749,2102,0,12
2020/4/3,1:00,2630,1971,0,12
2020/4/3,2:00,2616,1989,0,12
2020/4/3,3:00,2632,2023,0,11
2020/4/3,4:00,2675,2080,0,11
2020/4/3,5:00,2796,2185,1,7
2020/4/3,6:00,2936,2169,102,5
2020/4/3,7:00,3034,1937,386,4
2020/4/3,8:00,3271,1835,691,2
2020/4/3,9:00,3406,1716,931,2
2020/4/3,10:00,3409,1641,1079,2
2020/4/3,11:00,3398,1653,1126,2
2020/4/3,12:00,3256,1669,1091,2
2020/4/3,13:00,3308,1715,986,2
2020/4/3,14:00,3249,1755,793,2
2020/4/3,15:00,3208,1929,526,1
2020/4/3,16:00,3223,2123,226,1
2020/4/3,17:00,3262,2156,21,1
2020/4/3,18:00,3424,2381,0,2
2020/4/3,19:00,3360,2420,0,3
2020/4/3,20:00,3238,2408,0,3
2020/4/3,21:00,3124,2394,0,3
2020/4/3,22:00,2994,2371,0,4
2020/4/3,23:00,2819,2185,0,4
2020/4/4,0:00,2596,1864,0,9
2020/4/4,1:00,2480,1799,0,9
2020/4/4,2:00,2476,1855,0,8
2020/4/4,3:00,2478,1865,0,8
2020/4/4,4:00,2463,1811,0,7
2020/4/4,5:00,2458,1811,1,7
2020/4/4,6:00,2452,1695,109,7
2020/4/4,7:00,2508,1587,386,5
2020/4/4,8:00,2645,1539,688,4
2020/4/4,9:00,2714,1506,915,6
2020/4/4,10:00,2742,1521,1068,8
2020/4/4,11:00,2755,1525,1126,11
2020/4/4,12:00,2706,1524,1096,14
2020/4/4,13:00,2682,1561,995,15
2020/4/4,14:00,2611,1552,799,17
2020/4/4,15:00,2585,1570,536,18
2020/4/4,16:00,2628,1668,240,18
2020/4/4,17:00,2743,1731,27,19
2020/4/4,18:00,2974,1788,0,21
2020/4/4,19:00,2955,1755,0,22
2020/4/4,20:00,2881,1774,0,24
2020/4/4,21:00,2766,1783,0,24
2020/4/4,22:00,2631,1867,0,22
2020/4/4,23:00,2514,1846,0,23
2020/4/5,0:00,2344,1762,0,20
2020/4/5,1:00,2258,1665,0,21
2020/4/5,2:00,2258,1699,0,20
2020/4/5,3:00,2269,1714,0,18
2020/4/5,4:00,2284,1744,0,19
2020/4/5,5:00,2269,1732,1,20
2020/4/5,6:00,2262,1646,88,21
2020/4/5,7:00,2386,1681,260,23
2020/4/5,8:00,2570,1745,368,26
2020/4/5,9:00,2679,1792,386,28
2020/4/5,10:00,2713,1814,364,30
2020/4/5,11:00,2754,1873,331,30
2020/4/5,12:00,2797,1966,292,30
2020/4/5,13:00,2789,2018,281,30
2020/4/5,14:00,2746,2010,291,27
2020/4/5,15:00,2732,1965,287,28
2020/4/5,16:00,2778,2030,177,26
2020/4/5,17:00,2992,2307,27,25
2020/4/5,18:00,3286,2611,0,24
2020/4/5,19:00,3294,2607,0,24
2020/4/5,20:00,3217,2561,0,23
2020/4/5,21:00,3090,2438,0,23
2020/4/5,22:00,2902,2281,0,22
2020/4/5,23:00,2721,2117,0,22
2020/4/6,0:00,2514,1944,0,21
2020/4/6,1:00,2419,1902,0,19
2020/4/6,2:00,2414,1921,0,23
2020/4/6,3:00,2434,1923,0,22
2020/4/6,4:00,2482,1909,0,22
2020/4/6,5:00,2616,2006,2,22
2020/4/6,6:00,2803,2023,123,22
2020/4/6,7:00,2946,1875,408,22
2020/4/6,8:00,3206,1833,713,23
2020/4/6,9:00,3371,1818,931,23
2020/4/6,10:00,3389,1722,1074,24
2020/4/6,11:00,3391,1725,1119,24
2020/4/6,12:00,3231,1693,1099,25
2020/4/6,13:00,3264,1681,1010,25
2020/4/6,14:00,3190,1740,827,25
2020/4/6,15:00,3143,1960,568,25
2020/4/6,16:00,3192,2258,263,25
2020/4/6,17:00,3263,2512,35,23
2020/4/6,18:00,3434,2641,0,20
2020/4/6,19:00,3381,2619,0,22
2020/4/6,20:00,3266,2541,0,22
2020/4/6,21:00,3184,2472,0,21
2020/4/6,22:00,3037,2348,0,22
2020/4/6,23:00,2848,2198,0,20
2020/4/7,0:00,2631,2029,0,20
2020/4/7,1:00,2529,1919,0,20
2020/4/7,2:00,2518,1938,0,20
2020/4/7,3:00,2538,1959,0,20
2020/4/7,4:00,2582,2027,0,19
2020/4/7,5:00,2684,2131,2,18
2020/4/7,6:00,2837,2103,114,14
2020/4/7,7:00,2985,1956,345,15
2020/4/7,8:00,3299,2036,543,10
2020/4/7,9:00,3409,1928,760,8
2020/4/7,10:00,3430,1761,960,7
2020/4/7,11:00,3377,1746,1025,7
2020/4/7,12:00,3257,1766,1040,7
2020/4/7,13:00,3354,1782,902,7
2020/4/7,14:00,3286,1968,644,7
2020/4/7,15:00,3158,2129,411,7
2020/4/7,16:00,3175,2339,214,7
2020/4/7,17:00,3240,2513,31,8
2020/4/7,18:00,3442,2530,0,8
2020/4/7,19:00,3391,2553,0,8
2020/4/7,20:00,3280,2606,0,8
2020/4/7,21:00,3157,2539,0,7
2020/4/7,22:00,3000,2417,0,8
2020/4/7,23:00,2821,2260,0,7
2020/4/8,0:00,2612,2059,0,5
2020/4/8,1:00,2499,1975,0,6
2020/4/8,2:00,2493,1993,0,6
2020/4/8,3:00,2520,2022,0,7
2020/4/8,4:00,2562,2066,0,7
2020/4/8,5:00,2631,2127,2,6
2020/4/8,6:00,2761,2058,125,4
2020/4/8,7:00,2881,1829,407,2
2020/4/8,8:00,3124,1735,712,1
2020/4/8,9:00,3274,1741,937,2
2020/4/8,10:00,3266,1689,1055,3
2020/4/8,11:00,3260,1674,1074,4
2020/4/8,12:00,3106,1651,1026,5
2020/4/8,13:00,3150,1678,922,8
2020/4/8,14:00,3127,1748,756,9
2020/4/8,15:00,3084,1931,513,10
2020/4/8,16:00,3091,2229,231,9
2020/4/8,17:00,3099,2457,28,10
2020/4/8,18:00,3244,2522,0,11
2020/4/8,19:00,3184,2472,0,13
2020/4/8,20:00,3078,2398,0,16
2020/4/8,21:00,2972,2300,0,18
2020/4/8,22:00,2842,2196,0,19
2020/4/8,23:00,2695,2089,0,20
2020/4/9,0:00,2501,1963,0,22
2020/4/9,1:00,2422,1900,0,25
2020/4/9,2:00,2422,1899,0,26
2020/4/9,3:00,2437,1923,0,24
2020/4/9,4:00,2456,1955,0,24
2020/4/9,5:00,2506,2001,5,25
2020/4/9,6:00,2598,1901,131,22
2020/4/9,7:00,2735,1678,426,21
2020/4/9,8:00,2986,1706,710,20
2020/4/9,9:00,3133,1695,932,19
2020/4/9,10:00,3160,1605,1077,18
2020/4/9,11:00,3200,1595,1110,18
2020/4/9,12:00,3075,1568,1041,17
2020/4/9,13:00,3147,1641,861,17
2020/4/9,14:00,3163,1962,557,16
2020/4/9,15:00,3129,2236,272,16
2020/4/9,16:00,3183,2373,103,15
2020/4/9,17:00,3241,2512,13,12
2020/4/9,18:00,3348,2545,0,11
2020/4/9,19:00,3272,2500,0,11
2020/4/9,20:00,3164,2529,0,10
2020/4/9,21:00,3050,2482,0,8
2020/4/9,22:00,2918,2392,0,7
2020/4/9,23:00,2749,2228,0,7
2020/4/10,0:00,2554,2040,0,8
2020/4/10,1:00,2461,1971,0,8
2020/4/10,2:00,2452,1962,0,9
2020/4/10,3:00,2484,1992,0,12
2020/4/10,4:00,2524,2032,0,14
2020/4/10,5:00,2609,2111,5,14
2020/4/10,6:00,2733,2094,104,17
2020/4/10,7:00,2892,1975,342,16
2020/4/10,8:00,3121,1894,635,18
2020/4/10,9:00,3266,1816,910,17
2020/4/10,10:00,3326,1757,1063,20
2020/4/10,11:00,3316,1721,1091,22
2020/4/10,12:00,3164,1664,1049,22
2020/4/10,13:00,3183,1722,948,22
2020/4/10,14:00,3106,1811,775,22
2020/4/10,15:00,3070,1962,546,23
2020/4/10,16:00,3121,2286,255,24
2020/4/10,17:00,3198,2402,37,25
2020/4/10,18:00,3401,2533,0,24
2020/4/10,19:00,3371,2499,0,25
2020/4/10,20:00,3268,2507,0,25
2020/4/10,21:00,3151,2492,0,24
2020/4/10,22:00,3012,2318,0,22
2020/4/10,23:00,2851,2007,0,20
