TIME,humidity,temp_max,temp_min,wind_speed
15:00:00,94,18.04,18.04,13.92
18:00:00,86,16.89,16.89,4.31
21:00:00,73,16.27,16.27,3.21
00:00:00,58,18.5,18.5,1.68
03:00:00,51,20.59,20.59,4.47
06:00:00,39,22.58,22.58,8.45
09:00:00,47,20.49,20.49,10.85
12:00:00,61,18.97,18.97,9.38
15:00:00,55,18.41,18.41,1.1
18:00:00,67,16.2,16.2,3.79
21:00:00,68,15.96,15.96,4.37
00:00:00,58,18.69,18.69,1.24
03:00:00,41,21,21,7.38
06:00:00,58,19.74,19.74,9.81
09:00:00,79,18.02,18.02,6.97
12:00:00,76,19.38,19.38,12.86
15:00:00,75,18.58,18.58,11.63
18:00:00,61,16.55,16.55,7.06
21:00:00,64,15.31,15.31,9.71
00:00:00,50,17.85,17.85,6.65
03:00:00,43,19.85,19.85,8.24
06:00:00,41,20.54,20.54,7.65
09:00:00,50,15.03,15.03,11.24
12:00:00,43,13.9,13.9,11.47
15:00:00,40,13.57,13.57,8.89
18:00:00,37,13.6,13.6,6.78
21:00:00,38,13.66,13.66,2.54
00:00:00,49,17.01,17.01,5.82
03:00:00,40,18.58,18.58,4.1
06:00:00,35,19.38,19.38,1.71
09:00:00,34,19.09,19.09,4.25
12:00:00,29,17.93,17.93,4.7
15:00:00,35,16.88,16.88,0.91
18:00:00,42,15.84,15.84,2.63
21:00:00,48,16.05,16.05,4.36
00:00:00,49,19.36,19.36,5.96
03:00:00,40,21.14,21.14,5.75
06:00:00,33,21.69,21.69,6.88
09:00:00,46,20.94,20.94,8.02
12:00:00,61,18.99,18.99,8.36
