Name,Cloud Cover,Solar Radiation,Relative Humidity,Temperature,Wind Speed,Solar Energy
"Kyoto, Japan",100.0,736.0,49.7,65.4,11.9,2.6
"Kyoto, Japan",100.0,801.0,46.5,67.2,11.6,2.9
"Kyoto, Japan",100.0,815.0,46.5,67.7,12.8,2.9
"Kyoto, Japan",100.0,803.0,48.5,67.4,10.7,2.9
"Kyoto, Japan",100.0,771.0,50.5,66.8,10.3,2.8
"Kyoto, Japan",100.0,416.0,54.4,65.2,10.3,1.5
"Kyoto, Japan",97.9,305.0,60.5,62.5,9.2,1.1
"Kyoto, Japan",100.0,238.0,65.6,60.0,7.4,0.9
"Kyoto, Japan",100.0,181.0,68.1,58.7,3.4,0.7
"Kyoto, Japan",100.0,144.0,69.1,58.2,3.6,0.5
"Kyoto, Japan",100.0,120.0,70.9,57.5,2.0,0.4
"Kyoto, Japan",100.0,0.0,73.5,56.7,2.5,0.0
"Kyoto, Japan",40.5,0.0,74.8,56.4,3.1,0.0
"Kyoto, Japan",100.0,0.0,79.0,54.9,1.8,0.0
"Kyoto, Japan",100.0,0.0,80.1,54.6,1.8,0.0
"Kyoto, Japan",100.0,0.0,80.5,54.2,2.0,0.0
"Kyoto, Japan",100.0,0.0,80.9,53.9,1.8,0.0
"Kyoto, Japan",100.0,0.0,82.0,53.5,2.5,0.0
"Kyoto, Japan",100.0,0.0,83.4,52.8,2.2,0.0
"Kyoto, Japan",100.0,6.0,80.5,53.5,2.7,0.0
"Kyoto, Japan",99.6,40.0,74.0,55.7,2.0,0.1
"Kyoto, Japan",100.0,92.0,67.0,58.2,0.9,0.3
"Kyoto, Japan",99.9,152.0,60.2,60.7,2.9,0.5
"Kyoto, Japan",100.0,681.0,53.2,63.9,2.9,2.5
"Kyoto, Japan",100.0,690.0,49.9,65.6,2.5,2.5
"Kyoto, Japan",100.0,685.0,47.2,66.8,1.8,2.5
"Kyoto, Japan",100.0,740.0,42.5,69.5,2.5,2.7
"Kyoto, Japan",100.0,715.0,41.5,69.2,1.8,2.6
"Kyoto, Japan",100.0,711.0,39.0,70.6,1.1,2.6
"Kyoto, Japan",100.0,505.0,38.5,70.4,2.5,1.8
"Kyoto, Japan",92.1,405.0,40.2,69.3,4.0,1.5
"Kyoto, Japan",94.5,315.0,49.2,66.3,5.1,1.1
"Kyoto, Japan",93.4,240.0,56.9,62.9,4.9,0.9
"Kyoto, Japan",89.1,192.0,61.9,61.4,3.8,0.7
"Kyoto, Japan",89.0,160.0,65.5,60.2,3.8,0.6
"Kyoto, Japan",66.0,0.0,68.5,58.9,2.9,0.0
"Kyoto, Japan",57.2,0.0,70.8,57.8,2.7,0.0
"Kyoto, Japan",95.4,0.0,72.9,57.1,2.5,0.0
"Kyoto, Japan",97.6,0.0,74.3,56.2,2.2,0.0
"Kyoto, Japan",99.1,0.0,75.5,55.5,2.5,0.0
"Kyoto, Japan",100.0,0.0,73.8,56.4,2.0,0.0
