Name,Wind Direction,weather_uvindex,Latitude,weather_preciptype,weather_cin,Cloud Cover,Chance Precipitation (%),Date time,Precipitation,Solar Radiation,Dew Point,Relative Humidity,ID,Longitude,Temperature,Visibility,Wind Speed,weather_severerisk,Solar Energy,Heat Index,Snow Depth,Sea Level Pressure,Snow,Name,Wind Gust,Conditions,Wind Chill,weather_cape
"Matsuyama, Japan",125,0,33.8349,,0,100,0,04/27/2021 00:00:00,0,0,1.7,57.7,602981e3cd,132.762,9.8,24.1,6.8,10,0,,0,1022,0,"Matsuyama, Japan",6.8,Overcast,9,0
"Matsuyama, Japan",121.4,0,33.8349,,0,100,0,04/27/2021 01:00:00,0,0,2.6,62.7,602981e3cd,132.762,9.5,24.1,7.2,10,0,,0,1022,0,"Matsuyama, Japan",6.1,Overcast,8.6,0
"Matsuyama, Japan",122.6,0,33.8349,,0,100,0,04/27/2021 02:00:00,0,0,3.1,66.6,602981e3cd,132.762,9.3,24.1,7.2,10,0,,0,1022,0,"Matsuyama, Japan",5.8,Overcast,8.3,0
"Matsuyama, Japan",124.2,0,33.8349,,0,100,0,04/27/2021 03:00:00,0,0,3.7,70.1,602981e3cd,132.762,9.1,24.1,6.1,10,0,,0,1022,0,"Matsuyama, Japan",5.4,Overcast,8.4,0
"Matsuyama, Japan",132,0,33.8349,,0,100,0,04/27/2021 04:00:00,0,0,4.1,71.4,602981e3cd,132.762,9.1,24.1,4.3,10,0,,0,1022,0,"Matsuyama, Japan",4,Overcast,,0
"Matsuyama, Japan",123.8,0,33.8349,,0,22.6,0,04/27/2021 05:00:00,0,0,4.5,74.5,602981e3cd,132.762,8.9,24.1,5.8,10,0,,0,1023,0,"Matsuyama, Japan",5,Clear,8.2,0
"Matsuyama, Japan",123.2,0,33.8349,,0,36.5,0,04/27/2021 06:00:00,0,4,4.9,75.4,602981e3cd,132.762,9.1,24.1,6.5,10,0,,0,1023,0,"Matsuyama, Japan",5.4,Partially cloudy,8.3,0
"Matsuyama, Japan",130.1,0,33.8349,,0,7.5,0,04/27/2021 07:00:00,0,45,5.4,64,602981e3cd,132.762,11.9,24.1,3.2,10,0.2,,0,1023,0,"Matsuyama, Japan",4.7,Clear,,0
"Matsuyama, Japan",251.7,1,33.8349,,0,74.4,0,04/27/2021 08:00:00,0,114,5.1,52.7,602981e3cd,132.762,14.6,24.1,2.5,10,0.4,,0,1023,0,"Matsuyama, Japan",5,Partially cloudy,,0
"Matsuyama, Japan",271.6,2,33.8349,,0,100,0,04/27/2021 09:00:00,0,191,3.6,44.2,602981e3cd,132.762,15.9,24.1,6.1,10,0.7,,0,1022,0,"Matsuyama, Japan",10.1,Overcast,,0
"Matsuyama, Japan",280.8,6,33.8349,,0,81.1,0,04/27/2021 10:00:00,0,638,3.4,42.5,602981e3cd,132.762,16.4,24.1,8.3,10,2.3,,0,1022,0,"Matsuyama, Japan",12.2,Overcast,,0
"Matsuyama, Japan",276.8,7,33.8349,,0,100,0,04/27/2021 11:00:00,0,739,4.2,43,602981e3cd,132.762,17.1,24.1,9.7,10,2.7,,0,1022,0,"Matsuyama, Japan",14,Overcast,,0
"Matsuyama, Japan",284.7,8,33.8349,,0,100,0,04/27/2021 12:00:00,0,787,5.4,46.2,602981e3cd,132.762,17.4,24.1,9.4,10,2.8,,0,1022,0,"Matsuyama, Japan",14,Overcast,,0
"Matsuyama, Japan",292,8,33.8349,,0,76.9,0,04/27/2021 13:00:00,0,767,6.1,49.4,602981e3cd,132.762,17.1,24.1,7.6,10,2.8,,0,1021,0,"Matsuyama, Japan",12.6,Overcast,,1
"Matsuyama, Japan",281.4,8,33.8349,,0,90.9,0,04/27/2021 14:00:00,0,797,6.7,49,602981e3cd,132.762,17.8,24.1,8.6,10,2.9,,0,1021,0,"Matsuyama, Japan",14,Overcast,,4
"Matsuyama, Japan",259.4,8,33.8349,,0,50.5,0,04/27/2021 15:00:00,0,795,7,48.7,602981e3cd,132.762,18.3,24.1,7.6,10,2.9,,0,1020,0,"Matsuyama, Japan",13.3,Partially cloudy,,1
"Matsuyama, Japan",220.8,6,33.8349,,0,100,0,04/27/2021 16:00:00,0,631,6.3,44.2,602981e3cd,132.762,19,24.1,6.1,10,2.3,,0,1020,0,"Matsuyama, Japan",14.8,Overcast,,0
"Matsuyama, Japan",213.1,5,33.8349,,0,97,0,04/27/2021 17:00:00,0,471,7.1,48.4,602981e3cd,132.762,18.2,24.1,6.1,10,1.7,,0,1020,0,"Matsuyama, Japan",17.6,Overcast,,0
"Matsuyama, Japan",162.6,4,33.8349,,0,86.8,0,04/27/2021 18:00:00,0,372,7.8,55.5,602981e3cd,132.762,16.8,24.1,6.5,10,1.3,,0,1020,0,"Matsuyama, Japan",18.4,Overcast,,0
"Matsuyama, Japan",133.1,3,33.8349,,0,88.3,0,04/27/2021 19:00:00,0,287,8.1,67.4,602981e3cd,132.762,14.1,24.1,4.3,10,1,,0,1021,0,"Matsuyama, Japan",5.4,Overcast,,0
"Matsuyama, Japan",124.1,2,33.8349,,0,41.2,0,04/27/2021 20:00:00,0,229,8.1,71.4,602981e3cd,132.762,13.3,24.1,8.3,10,0.8,,0,1021,0,"Matsuyama, Japan",8.6,Partially cloudy,,0
"Matsuyama, Japan",129.7,2,33.8349,,0,100,0,04/27/2021 21:00:00,0,191,8.2,75.5,602981e3cd,132.762,12.6,24.1,9,10,0.7,,0,1022,0,"Matsuyama, Japan",10.1,Overcast,,0
"Matsuyama, Japan",121.8,0,33.8349,,0,100,0,04/27/2021 22:00:00,0,0,8,75.9,602981e3cd,132.762,12.2,24.1,9.4,10,0,,0,1023,0,"Matsuyama, Japan",10.4,Overcast,,0
"Matsuyama, Japan",119.7,0,33.8349,,0,100,0,04/27/2021 23:00:00,0,0,8.1,71.3,602981e3cd,132.762,13.2,24.1,10.1,10,0,,0,1022,0,"Matsuyama, Japan",12.6,Overcast,,0
"Matsuyama, Japan",120.7,0,33.8349,,0,97.3,0,04/28/2021 00:00:00,0,0,8.5,72.9,602981e3cd,132.762,13.2,24.1,9.4,10,0,,0,1022,0,"Matsuyama, Japan",11.9,Overcast,,0
"Matsuyama, Japan",116.8,0,33.8349,,0,99.1,0,04/28/2021 01:00:00,0,0,8.8,74.8,602981e3cd,132.762,13.2,24.1,9,10,0,,0,1021,0,"Matsuyama, Japan",10.8,Overcast,,0
"Matsuyama, Japan",117.1,0,33.8349,,0,100,0,04/28/2021 02:00:00,0,0,9.1,78.5,602981e3cd,132.762,12.8,24.1,10.4,10,0,,0,1020,0,"Matsuyama, Japan",13.3,Overcast,,0
"Matsuyama, Japan",121,0,33.8349,,0,100,0,04/28/2021 03:00:00,0,0,9.4,78.9,602981e3cd,132.762,13,24.1,9.4,10,0,,0,1020,0,"Matsuyama, Japan",10.1,Overcast,,0
"Matsuyama, Japan",124,0,33.8349,,0,100,38,04/28/2021 04:00:00,0,0,10,77.8,602981e3cd,132.762,13.8,24.1,6.8,10,0,,0,1020,0,"Matsuyama, Japan",8.3,Overcast,,0
"Matsuyama, Japan",134.6,0,33.8349,,0,100,38,04/28/2021 05:00:00,0,0,10.3,78.1,602981e3cd,132.762,14,24.1,6.5,10,0,,0,1020,0,"Matsuyama, Japan",6.5,Overcast,,0
"Matsuyama, Japan",128.6,0,33.8349,,0,100,38,04/28/2021 06:00:00,0,0,10.6,78.5,602981e3cd,132.762,14.4,24.1,6.5,10,0,,0,1020,0,"Matsuyama, Japan",6.5,Overcast,,0
"Matsuyama, Japan",134.7,0,33.8349,,0,100,38,04/28/2021 07:00:00,0,6,11.2,78.8,602981e3cd,132.762,14.9,24.1,5,10,0,,0,1020,0,"Matsuyama, Japan",6.5,Overcast,,0
"Matsuyama, Japan",144.6,0,33.8349,rain,-5,100,38,04/28/2021 08:00:00,0,18,12,77.8,602981e3cd,132.762,15.9,21.8,1.8,10,0.1,,0,1020,0,"Matsuyama, Japan",3.6,Overcast,,6
"Matsuyama, Japan",153.2,0,33.8349,rain,-4,100,38,04/28/2021 09:00:00,0.8,21,13.2,91.5,602981e3cd,132.762,14.6,12.3,2.5,10,0.1,,0,1020,0,"Matsuyama, Japan",2.9,Overcast,,4
"Matsuyama, Japan",155.4,1,33.8349,rain,-13,100,61.9,04/28/2021 10:00:00,0.7,85,13.9,92.4,602981e3cd,132.762,15.1,20.1,3.6,10,0.3,,0,1019,0,"Matsuyama, Japan",6.5,"Rain, Overcast",,12
"Matsuyama, Japan",277.8,1,33.8349,rain,-4,100,61.9,04/28/2021 11:00:00,0.1,86,14.1,92,602981e3cd,132.762,15.5,23.2,2.9,10,0.3,,0,1019,0,"Matsuyama, Japan",4.3,"Rain, Overcast",,30
"Matsuyama, Japan",279.3,1,33.8349,rain,-4,100,61.9,04/28/2021 12:00:00,0.2,81,14.2,94,602981e3cd,132.762,15.2,21.4,0.4,10,0.3,,0,1019,0,"Matsuyama, Japan",2.5,"Rain, Overcast",,28
"Matsuyama, Japan",192.4,1,33.8349,rain,-1,100,61.9,04/28/2021 13:00:00,0.2,82,14.4,93.8,602981e3cd,132.762,15.5,17.4,0.7,10,0.3,,0,1018,0,"Matsuyama, Japan",4.3,"Rain, Overcast",,49
"Matsuyama, Japan",161.7,1,33.8349,rain,-2,100,61.9,04/28/2021 14:00:00,0.6,82,14.5,93.9,602981e3cd,132.762,15.5,15.9,2.2,10,0.3,,0,1017,0,"Matsuyama, Japan",6.8,"Rain, Overcast",,49
"Matsuyama, Japan",169.2,1,33.8349,rain,-2,100,61.9,04/28/2021 15:00:00,0.4,82,14.6,93.3,602981e3cd,132.762,15.7,20.5,1.4,10,0.3,,0,1017,0,"Matsuyama, Japan",9.4,"Rain, Overcast",,55
"Matsuyama, Japan",139.7,0,33.8349,rain,-6,100,52.4,04/28/2021 16:00:00,0.6,40,14.2,93.5,602981e3cd,132.762,15.2,14.9,5,10,0.1,,0,1017,0,"Matsuyama, Japan",6.1,"Rain, Overcast",,26
"Matsuyama, Japan",120.3,0,33.8349,rain,0,99.8,52.4,04/28/2021 17:00:00,1.2,29,13.9,95.3,602981e3cd,132.762,14.7,11.1,4,10,0.1,,0,1016,0,"Matsuyama, Japan",5.4,"Rain, Overcast",,0
"Matsuyama, Japan",103.7,0,33.8349,rain,-17,100,52.4,04/28/2021 18:00:00,0.4,40,14.1,94.5,602981e3cd,132.762,15.1,23.2,1.1,10,0.1,,0,1016,0,"Matsuyama, Japan",2.5,"Rain, Overcast",,18
"Matsuyama, Japan",115,0,33.8349,rain,-7,100,52.4,04/28/2021 19:00:00,0.4,30,13.7,94.5,602981e3cd,132.762,14.7,24.1,5.4,10,0.1,,0,1016,0,"Matsuyama, Japan",5.4,"Rain, Overcast",,3
"Matsuyama, Japan",89.9,0,33.8349,rain,-2,100,52.4,04/28/2021 20:00:00,1.7,24,13.8,95.9,602981e3cd,132.762,14.4,5.8,4.7,10,0.1,,0,1016,0,"Matsuyama, Japan",4.7,"Rain, Overcast",,1
"Matsuyama, Japan",116.8,0,33.8349,rain,-49,100,52.4,04/28/2021 21:00:00,2.2,20,13.9,96.5,602981e3cd,132.762,14.5,6.8,5.8,10,0.1,,0,1016,0,"Matsuyama, Japan",6.1,"Rain, Overcast",,2
"Matsuyama, Japan",120.6,0,33.8349,rain,0,100,76.1,04/28/2021 22:00:00,1.8,0,13.9,97,602981e3cd,132.762,14.4,5.5,2.2,10,0,,0,1015,0,"Matsuyama, Japan",2.2,"Rain, Overcast",,0
"Matsuyama, Japan",124.3,0,33.8349,rain,-22,100,76.1,04/28/2021 23:00:00,3.1,0,14,97.6,602981e3cd,132.762,14.3,5,3.2,10,0,,0,1015,0,"Matsuyama, Japan",3.2,"Rain, Overcast",,0
"Matsuyama, Japan",110.5,0,33.8349,rain,0,100,76.1,04/29/2021 00:00:00,2.5,0,14,97.5,602981e3cd,132.762,14.4,6.2,4.3,10,0,,0,1014,0,"Matsuyama, Japan",4.7,"Rain, Overcast",,0
"Matsuyama, Japan",124,0,33.8349,rain,0,100,76.1,04/29/2021 01:00:00,2.1,0,14,97.6,602981e3cd,132.762,14.3,5.6,0.7,10,0,,0,1013,0,"Matsuyama, Japan",1.8,"Rain, Overcast",,0
"Matsuyama, Japan",36.2,0,33.8349,rain,0,100,76.1,04/29/2021 02:00:00,2.9,0,13.9,98.8,602981e3cd,132.762,14.1,5.4,1.8,10,0,,0,1012,0,"Matsuyama, Japan",2.9,"Rain, Overcast",,1
