Name,Cloud Cover,Solar Radiation,Relative Humidity,Temperature,Wind Speed,Solar Energy
"Matsuyama, Japan",100.0,0.0,57.7,9.8,6.8,0.0
"Matsuyama, Japan",100.0,0.0,62.7,9.5,7.2,0.0
"Matsuyama, Japan",100.0,0.0,66.6,9.3,7.2,0.0
"Matsuyama, Japan",100.0,0.0,70.1,9.1,6.1,0.0
"Matsuyama, Japan",100.0,0.0,71.4,9.1,4.3,0.0
"Matsuyama, Japan",22.6,0.0,74.5,8.9,5.8,0.0
"Matsuyama, Japan",36.5,4.0,75.4,9.1,6.5,0.0
"Matsuyama, Japan",7.5,45.0,64.0,11.9,3.2,0.2
"Matsuyama, Japan",74.4,114.0,52.7,14.6,2.5,0.4
"Matsuyama, Japan",100.0,191.0,44.2,15.9,6.1,0.7
"Matsuyama, Japan",81.1,638.0,42.5,16.4,8.3,2.3
"Matsuyama, Japan",100.0,739.0,43.0,17.1,9.7,2.7
"Matsuyama, Japan",100.0,787.0,46.2,17.4,9.4,2.8
"Matsuyama, Japan",76.9,767.0,49.4,17.1,7.6,2.8
"Matsuyama, Japan",90.9,797.0,49.0,17.8,8.6,2.9
"Matsuyama, Japan",50.5,795.0,48.7,18.3,7.6,2.9
"Matsuyama, Japan",100.0,631.0,44.2,19.0,6.1,2.3
"Matsuyama, Japan",97.0,471.0,48.4,18.2,6.1,1.7
"Matsuyama, Japan",86.8,372.0,55.5,16.8,6.5,1.3
"Matsuyama, Japan",88.3,287.0,67.4,14.1,4.3,1.0
"Matsuyama, Japan",41.2,229.0,71.4,13.3,8.3,0.8
"Matsuyama, Japan",100.0,191.0,75.5,12.6,9.0,0.7
"Matsuyama, Japan",100.0,0.0,75.9,12.2,9.4,0.0
"Matsuyama, Japan",100.0,0.0,71.3,13.2,10.1,0.0
"Matsuyama, Japan",97.3,0.0,72.9,13.2,9.4,0.0
"Matsuyama, Japan",99.1,0.0,74.8,13.2,9.0,0.0
"Matsuyama, Japan",100.0,0.0,78.5,12.8,10.4,0.0
"Matsuyama, Japan",100.0,0.0,78.9,13.0,9.4,0.0
"Matsuyama, Japan",100.0,0.0,77.8,13.8,6.8,0.0
"Matsuyama, Japan",100.0,0.0,78.1,14.0,6.5,0.0
"Matsuyama, Japan",100.0,0.0,78.5,14.4,6.5,0.0
"Matsuyama, Japan",100.0,6.0,78.8,14.9,5.0,0.0
"Matsuyama, Japan",100.0,18.0,77.8,15.9,1.8,0.1
