TIME,demand,solar,wind
0:00,"2,555",0,2
1:00,"2,433",0,2
2:00,"2,393",0,2
3:00,"2,375",0,1
4:00,"2,390",0,1
5:00,"2,467",0,1
6:00,"2,631",53,1
7:00,"2,775",183,2
8:00,"2,965",320,2
9:00,"3,159",409,3
10:00,"3,211",416,3
11:00,"3,265",497,5
12:00,"3,160",505,6
13:00,"3,288",365,8
14:00,"3,361",256,9
15:00,"3,362",127,12
16:00,"3,406",50,13
17:00,"3,438",3,14
18:00,"3,501",0,14
19:00,"3,381",0,14
20:00,"3,242",0,14
21:00,"3,084",0,13
22:00,"2,973",0,12
23:00,"2,811",0,13
0:00,"2,613",0,14
1:00,"2,492",0,14
2:00,"2,431",0,13
3:00,"2,403",0,13
4:00,"2,390",0,13
5:00,"2,432",0,12
6:00,"2,543",4,12
7:00,"2,734",41,11
8:00,"3,019",98,10
9:00,"3,225",149,10
10:00,"3,258",184,9
11:00,"3,239",211,8
12:00,"3,167",211,7
13:00,"3,112",173,6
14:00,"3,049",116,7
15:00,"3,043",71,6
16:00,"3,098",24,7
17:00,"3,216",0,7
18:00,"3,328",0,8
19:00,"3,276",0,9
20:00,"3,173",0,8
21:00,"3,007",0,9
22:00,"2,856",0,9
23:00,"2,674",0,8
0:00,"2,455",0,6
1:00,"2,325",0,5
2:00,"2,280",0,6
3:00,"2,265",0,6
4:00,"2,253",0,6
5:00,"2,276",0,7
6:00,"2,330",13,7
7:00,"2,493",67,9
8:00,"2,700",129,9
9:00,"2,832",171,9
10:00,"2,835",242,11
11:00,"2,833",322,12
12:00,"2,820",294,13
13:00,"2,738",209,13
14:00,"2,694",173,15
15:00,"2,684",120,16
16:00,"2,755",71,16
17:00,"2,920",9,16
18:00,"3,132",0,17
19:00,"3,114",0,18
20:00,"3,020",0,19
21:00,"2,860",0,19
22:00,"2,690",0,22
23:00,"2,494",0,23
0:00,"2,304",0,20
1:00,"2,206",0,17
2:00,"2,179",0,16
3:00,"2,189",0,16
4:00,"2,216",0,15
5:00,"2,320",0,14
6:00,"2,528",0,11
7:00,"2,835",7,10
8:00,"3,168",31,9
9:00,"3,418",76,11
10:00,"3,480",160,11
11:00,"3,422",321,10
12:00,"3,200",348,9
13:00,"3,323",289,8
14:00,"3,322",151,9
15:00,"3,312",75,10
16:00,"3,349",27,11
17:00,"3,346",0,12
18:00,"3,436",0,12
19:00,"3,337",0,11
20:00,"3,213",0,11
21:00,"3,067",0,11
22:00,"2,982",0,10
23:00,"2,797",0,10
0:00,"2,551",0,11
1:00,"2,427",0,10
2:00,"2,392",0,9
3:00,"2,380",0,9
4:00,"2,415",0,8
5:00,"2,524",0,7
6:00,"2,767",0,6
7:00,"3,056",18,4
8:00,"3,400",55,4
9:00,"3,678",102,3
10:00,"3,747",127,2
11:00,"3,727",145,2
12:00,"3,532",153,2
13:00,"3,670",169,2
14:00,"3,640",158,2
15:00,"3,589",152,3
16:00,"3,579",74,3
17:00,"3,579",7,5
18:00,"3,664",0,7
19:00,"3,559",0,8
20:00,"3,414",0,9
21:00,"3,234",0,11
22:00,"3,135",0,11
23:00,"2,913",0,12
0:00,"2,634",0,14
1:00,"2,496",0,14
2:00,"2,451",0,14
3:00,"2,440",0,12
4:00,"2,478",0,13
5:00,"2,593",1,12
6:00,"2,787",77,11
7:00,"2,955",239,11
